United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,39.2,31.3,46.9,28.9,49.3,27.8,50.4,1,2.7,1.5,3.0,1.5,3.8,1.1,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.5,2.9,1.5,3.7,1.1,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,44.1,34.3,52.8,31.9,56.8,30.0,59.2
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.1,1.4,2.5,1.1,2.8,1,1.4,1.0,1.4,0.7,1.7,0.7,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.4,2.8,3.5,2.1,4.2,1.8,4.8
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.6,3.2,2.0,3.2,2.0,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.6,2.3,1.3,2.6,0.0,3.2,3,5.1,4.2,5.5,3.3,5.8,2.0,7.0
1983,1,9.2,6.5,10.6,5.9,11.8,5.3,12.4,3,10.6,9.3,13.0,8.6,13.9,8.0,14.5,1,6.2,5.0,7.5,5.0,7.8,4.7,7.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.1,6.4,9.1,5.8,9.4,5.5,9.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,35.1,27.2,40.2,25.3,42.9,23.5,44.4
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.9,2.4,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,3.0,3.6,2.4,3.9,2.4,4.5
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.9,2.5,4.5,2.2,4.7,2.2,5.3,1,3.5,2.9,3.7,2.6,4.0,2.3,4.3,1,1.7,1.4,1.7,1.1,2.0,1.1,2.3,3,10.3,6.7,10.1,6.2,11.0,5.7,11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.6,2.6,2.3,2.9,2.3,2.9,7,21.8,16.1,22.6,14.4,24.6,13.6,26.3
1986,1,5.0,4.2,5.8,3.9,6.4,3.6,6.6,1,1.1,0.8,1.4,0.8,1.7,0.6,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.1,1.4,1.1,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.6,6.1,8.6,5.8,9.8,5.3,10.2
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,52.6,40.0,63.9,37.1,66.8,35.8,68.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,52.6,40.0,63.9,37.1,66.8,35.8,68.4
1989,1,7.5,6.5,8.8,6.3,9.0,6.0,9.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,3.8,6.3,3.8,6.3,3.5,6.5,1,1.4,1.2,1.5,1.2,1.5,1.0,1.7,2,23.3,20.9,24.5,20.2,25.6,19.7,26.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.4,1.9,1.4,1.9,1.4,2.2,6,38.8,33.8,43.0,32.9,44.3,31.6,45.8
