Contiguous U.S. July-June Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189606,51.62,-0.41
189706,51.29,-0.74
189806,52.09,0.06
189906,50.17,-1.86
190006,52.49,0.46
190106,52.06,0.03
190206,52.11,0.08
190306,51.02,-1.01
190406,50.67,-1.36
190506,51.08,-0.95
190606,51.46,-0.57
190706,51.62,-0.41
190806,52.06,0.03
190906,51.73,-0.30
191006,51.91,-0.12
191106,52.68,0.65
191206,50.10,-1.93
191306,50.99,-1.04
191406,52.20,0.17
191506,51.33,-0.70
191606,51.37,-0.66
191706,49.86,-2.17
191806,51.48,-0.55
191906,51.97,-0.06
192006,50.80,-1.23
192106,52.97,0.94
192206,52.25,0.22
192306,51.95,-0.08
192406,51.26,-0.77
192506,52.32,0.29
192606,51.74,-0.29
192706,52.23,0.20
192806,51.70,-0.33
192906,51.03,-1.00
193006,51.84,-0.19
193106,52.43,0.40
193206,53.16,1.13
193306,51.73,-0.30
193406,54.19,2.16
193506,52.81,0.78
193606,51.44,-0.59
193706,51.81,-0.22
193806,52.99,0.96
193906,52.85,0.82
194006,52.46,0.43
194106,52.49,0.46
194206,52.23,0.20
194306,52.14,0.11
194406,51.97,-0.06
194506,51.94,-0.09
194606,52.50,0.47
194706,51.70,-0.33
194806,51.98,-0.05
194906,51.70,-0.33
195006,51.96,-0.07
195106,51.36,-0.67
195206,51.76,-0.27
195306,52.77,0.74
195406,53.28,1.25
195506,52.33,0.30
195606,52.06,0.03
195706,52.34,0.31
195806,51.74,-0.29
195906,52.26,0.23
196006,51.36,-0.67
196106,52.34,0.31
196206,51.38,-0.65
196306,52.08,0.05
196406,52.17,0.14
196506,51.38,-0.65
196606,51.64,-0.39
196706,52.08,0.05
196806,51.50,-0.53
196906,51.02,-1.01
197006,51.60,-0.43
197106,51.63,-0.40
197206,52.20,0.17
197306,51.15,-0.88
197406,52.79,0.76
197506,51.26,-0.77
197606,52.50,0.47
197706,51.29,-0.74
197806,51.47,-0.56
197906,50.53,-1.50
198006,52.10,0.07
198106,53.39,1.36
198206,51.53,-0.50
198306,52.00,-0.03
198406,51.89,-0.14
198506,52.03,0.00
198606,52.62,0.59
198706,53.08,1.05
198806,52.47,0.44
198906,52.60,0.57
199006,52.85,0.82
199106,53.24,1.21
199206,53.41,1.38
199306,51.12,-0.91
199406,51.98,-0.05
199506,52.81,0.78
199606,52.36,0.33
199706,51.92,-0.11
199806,53.07,1.04
199906,54.17,2.14
200006,54.56,2.53
200106,52.25,0.22
200206,53.87,1.84
200306,52.86,0.83
200406,53.61,1.58
200506,53.15,1.12
200606,54.47,2.44
200706,53.38,1.35
200806,52.99,0.96
200906,52.76,0.73
201006,52.21,0.18
201106,52.74,0.71
201206,55.35,3.32
201306,53.30,1.27
201406,52.17,0.14
201506,53.47,1.44
201606,55.03,3.00
201706,55.01,2.98
201806,53.79,1.76
201906,52.62,0.59
202006,53.86,1.83
202106,54.01,1.98
202206,54.25,2.22
202306,53.62,1.59
