,Country Name,CO2_tonpc,GDP_pc,PM25_mcgpcm,pop_den
0,Afghanistan,,584.3865153,52.41704109,57.90825169
1,Albania,1.749462457,4543.387723,18.63878032,104.1675547
2,Algeria,3.994401828,4153.003441,32.83308539,17.93031568
3,American Samoa,..,13288.35656,6.300155035,236.605
4,Andorra,6.287203804,39413.79088,9.066401367,162.4319149
5,Angola,0.753638205,2569.701651,28.4208104,25.95138205
6,Antigua and Barbuda,5.525581597,17599.96872,17.59200058,209.3568182
7,Argentina,3.742029812,12716.2242,13.51118918,16.42082662
8,Armenia,2.196552367,4561.967803,33.65637939,99.07277836
9,Aruba,..,31762.73396,..,591.3444444
10,Australia,15.59572675,58868.48063,6.745497859,3.294351419
11,Austria,7.263331201,46647.08096,12.16821803,107.6093068
12,Azerbaijan,3.54349533,5348.454136,25.4950546,121.2800711
13,"Bahamas, The",6.482893634,29760.3414,15.59065792,40.41528472
14,Bahrain,22.06335481,23414.21907,59.21710593,1908.286079
15,Bangladesh,0.559733656,1557.964334,63.4255285,1271.538926
16,Barbados,4.166143194,17168.14569,21.34389367,651.5813953
17,Belarus,6.12342695,6267.765795,16.42351285,46.41075062
18,Belgium,8.093790746,43107.21482,12.6724532,379.4247028
19,Belize,1.89208291,5907.348872,21.17639652,17.05808856
20,Benin,0.608236773,1153.72621,46.8584555,108.9964881
21,Bermuda,..,107036.2393,7.069562328,1183.537037
22,Bhutan,1.867200723,3219.641439,40.29859817,20.12215522
23,Bolivia,1.853461506,3242.948845,26.83286559,10.87170221
24,Bosnia and Herzegovina,6.285663956,5558.082553,29.46633319,65.63888672
25,Botswana,2.879663256,6485.46044,24.71873626,4.410745858
26,Brazil,2.050770129,8592.210218,11.65399121,25.33851766
27,British Virgin Islands,..,..,..,204.0666667
28,Brunei Darussalam,16.11193294,30313.41729,7.680643971,83.12106262
29,Bulgaria,5.613710103,8242.313996,19.36594583,64.25719418
30,Burkina Faso,0.269501589,716.0121974,53.67033962,76.57762792
31,Burundi,0.059571339,270.1372773,33.27977863,462.41581
32,Cabo Verde,1.069615098,3690.656476,51.11721004,143.1836228
33,Cambodia,1.116330426,1465.969535,22.1120864,91.81818491
34,Cameroon,0.370691707,1454.564069,64.47088106,54.54156036
35,Canada,15.05274694,45113.06628,7.100156005,4.193949311
36,Cayman Islands,..,82170.59303,..,275.5583333
37,Central African Republic,0.045188205,381.4140464,46.3767539,8.361944204
38,Chad,0.098196389,652.703216,59.2825236,12.80723158
39,Channel Islands,..,..,..,..
40,Chile,4.827620075,13761.37447,22.76585719,25.60681316
41,China,7.645435786,10155.51142,47.67263439,149.3675732
42,Colombia,1.577820141,6404.108766,22.01072747,45.23425507
43,Comoros,0.41239668,1381.622238,17.15567571,425.0327781
44,"Congo, Dem. Rep.",0.03371488,494.8192476,35.86088793,39.65809753
45,"Congo, Rep.",1.257662142,1731.799886,39.30341272,16.31254173
46,Costa Rica,1.564824452,12662.42285,17.42174135,99.57955347
47,Cote d'Ivoire,0.414528305,2252.543316,55.62337378,82.22500314
48,Croatia,4.064519478,14211.75543,18.46495986,72.64050104
49,Cuba,2.157740903,8042.948524,17.72659724,109.0240559
50,Curacao,..,17796.69991,..,354.5968468
51,Cyprus,5.851879339,28360.03125,15.57380293,132.9909091
52,Czechia,9.156117906,20206.42564,16.75140093,138.2268103
53,Denmark,5.107386426,57203.02779,9.785959755,145.36055
54,Djibouti,0.398763866,2820.062866,43.16577438,46.33278689
55,Dominica,2.437419499,7936.304818,18.60844325,95.23733333
56,Dominican Republic,2.368634396,8205.142578,17.72938154,225.2511281
57,Ecuador,2.285055011,5863.910566,19.97447395,69.83306491
58,"Egypt, Arab Rep.",2.063160783,3769.03577,67.88817813,106.1014325
59,El Salvador,1.25994054,4105.646168,22.32472418,303.0992761
