Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.50918979595916
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,11238.83
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.297563650500103
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.41704109
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,57.9082516903546
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,584.386515325947
Albania,ALB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.38505682631297
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4993.3
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.74946245713759
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.63878032
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.167554744526
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4543.38772250631
Algeria,DZA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.961810382421239
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,170582.4
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.99440182789199
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,32.83308539
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.9303156808402
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4153.00344111131
American Samoa,ASM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.300155035
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,236.605
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13288.3565565116
Andorra,AND,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.159517865793492
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,479.984
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.2872038038851
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.066401367
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,162.431914893617
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39413.7908792259
Angola,AGO,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.293278484389941
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,24382.9
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.753638205444169
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.4208104
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,25.9513820486083
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2569.70165067457
Antigua and Barbuda,ATG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.313954057907545
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,509
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.52558159731646
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.59200058
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,209.356818181818
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17599.9687156255
Argentina,ARG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.294272085143803
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,168162
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.74202981162433
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.51118918
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.4208266190179
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12716.2242038544
Armenia,ARM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.481492299386282
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,6195.6
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.1965523671897
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.65637939
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,99.0727783631893
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4561.96780299386
Aruba,ABW,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
