Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.509189796
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,11238.83
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.297563651
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.41704109
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,57.90825169
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,584.3865153
Albania,ALB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.385056826
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4993.3
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.749462457
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.63878032
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.1675547
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4543.387723
Algeria,DZA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.961810382
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,170582.4
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.994401828
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,32.83308539
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.93031568
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4153.003441
American Samoa,ASM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.300155035
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,236.605
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13288.35656
Andorra,AND,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.159517866
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,479.984
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.287203804
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.066401367
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,162.4319149
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39413.79088
Angola,AGO,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.293278484
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,24382.9
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.753638205
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.4208104
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,25.95138205
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2569.701651
Antigua and Barbuda,ATG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.313954058
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,509
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.525581597
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.59200058
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,209.3568182
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17599.96872
Argentina,ARG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.294272085
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,168162
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.742029812
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.51118918
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.42082662
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12716.2242
Armenia,ARM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.481492299
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,6195.6
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.196552367
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.65637939
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,99.07277836
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4561.967803
Aruba,ABW,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,591.3444444
